"","Word","Frequency"
"1","a",0.016175756040905
"2","aa",2.6723245516778e-05
"3","aal",3.61829950633369e-07
"4","aam",5.7892792101339e-07
"5","aardvark",6.31098751104713e-07
"6","aardwolf",1.04341660182646e-07
"7","aba",4.75596018832512e-06
"8","abac",4.20732500736475e-07
"9","abaca",1.43049050250402e-07
"10","abaciscus",3.3658600058918e-09
"11","abacist",1.00975800176754e-08
"12","aback",3.33220140583289e-07
"13","abaculus",6.73172001178361e-09
"14","abacus",1.26388043221237e-06
"15","abaft",1.63244210285752e-07
"16","abaiser",3.3658600058918e-09
"17","abalone",8.39782071470005e-07
"18","abampere",2.18780900382967e-08
"19","abandon",7.53111176318291e-06
"20","abandonable",3.3658600058918e-09
"21","abandoned",3.54593351620701e-05
"22","abandoner",3.3658600058918e-09
"23","abandonment",3.0612496753586e-06
"24","abas",2.45707780430102e-07
"25","abase",1.34634400235672e-08
"26","abased",6.73172001178361e-09
"27","abasement",3.3658600058918e-08
"28","abash",3.3658600058918e-09
"29","abashed",2.86098100500803e-08
"30","abasia",1.17805100206213e-08
"31","abasic",1.85122300324049e-08
"32","abate",3.65195810639261e-07
"33","abatement",4.29147150751205e-07
"34","abatis",1.53146630268077e-07
"35","abaton",8.41465001472951e-09
"36","abator",3.3658600058918e-09
"37","abattoir",2.74317590480182e-07
"38","abaxial",3.19756700559721e-08
"39","abb",3.33893312584467e-06
"40","abbacy",1.36317330238618e-07
"41","abbas",5.14639994900857e-06
"42","abbasi",4.57756960801285e-07
"43","abbassi",5.04879000883771e-08
"44","abbatial",5.55366900972148e-08
"45","abbess",1.18141686206802e-06
"46","abbey",3.10921318044255e-05
"47","abbot",8.25477166444965e-06
"48","abbotship",1.51463700265131e-08
"49","abbreviate",2.18780900382967e-07
"50","abbreviation",1.1788924670636e-05
"51","abbreviator",2.69268800471344e-08
"52","abbreviature",3.3658600058918e-09
"53","abcoulomb",1.85122300324049e-08
"54","abdal",2.07000390362346e-07
"55","abdat",3.3658600058918e-09
"56","abdest",1.34634400235672e-08
"57","abdicate",1.07875813188832e-06
"58","abdication",2.37798009416256e-06
"59","abditory",3.3658600058918e-09
"60","abdomen",3.17400598555597e-06
